local_authority,meeting_date,item_context,motion_snippet,proposer,seconder,outcome,topics,tally_for,tally_against,tally_abstain,rollcall,source_url,source_status
Carlow,2026 May,"This motion will be sent to the Taoiseach, Tánaiste, and Minister for Health.""","Proposed by Cllr. B. Ward , Seconded by Cllr. F. Browne, And agreed following a show of hands. 6.2 Standing in the name of Cllrs. W. Quinn and J. Deane ""That Carlow County Council contact the Minister for Finance Simon Harris and the Minister for P",B. Ward,F. Browne,,,,,,False,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,"""That Carlow County Council contact the Minister for Finance Simon Harris and","Proposed by Cllr. W. Quinn, Seconded by Cllr. J. Deane, Cllr. F. Browne proposed an amendment to the motion to delete words PAYE workers and include all workers as follows: ""That Carlow County Council contact the Minister for Finance Simon Harris a",W. Quinn,J. Deane,,,,,,False,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,The amended motion was,"Proposed by Cllr. F. Browne, Seconded by Cllr. P. Doogue, And agreed following a show of hands. 6.3 Standing in the names of Cllrs. W. Paton, W. Quinn, J. Deane and J. Cassin ""In the face of ever-increasing medical costs for hard pressed families, C",F. Browne,P. Doogue,,,,,,False,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,"Flynn was recently subjected to, this council will send a letter of solidarity and","Proposed by Cllr. A. Wallace, Seconded by Cllr. P. Doogue, And agreed following a show of hands. 6.5 Standing in the name of Cllr. A. Wallace ""Given the unprecedented number of notices to quit currently being experienced in Carlow and the lack of ava",A. Wallace,P. Doogue,,,,,,False,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,Carlow and the lack of available private rented accommodation to replace these,"Proposed by Cllr. A. Wallace, Seconded by Cllr. F. Browne, And agreed following a show of hands. 6.6 Standing in the name of Cllr. C. Murphy ""We the elected members of Carlow County Council due to the continuing geopolitical and uncertainty of ",A. Wallace,F. Browne,,,,,,False,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 May,"2050.  Having done that, to ensure that all state companies and agencies are free","Proposed by Cllr. C. Murphy, Seconded by Cllr. D. Pender, And agreed following a show of hands. ",C. Murphy,D. Pender,,,,,,False,https://carlow.ie/sites/default/files/2026-06/Minutes%20Carlow%20County%20Council%20May%202026.pdf,text
Carlow,2026 February,"Monday, 12th January 2026","Proposed by Cllr. W. Quinn, Seconded by Cllr. M. Doran, Following a show of hands, it was agreed:- “That the Minutes of the monthly meeting of Carlow County Council held in the Council Chamber on Monday 12th January 2026 at 2.00 p.m. having been circulate",W. Quinn,M. Doran,,,,,,False,https://carlow.ie/sites/default/files/2026-05/Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,text
Carlow,2026 February,The Cathaoirleach read out the Emergency Notice of Motion.,"Proposed by Cllr. B. Ward, Seconded by Cllr. P. Doogue And agreed following a show of hand. “That Carlow County Council ask the Minister for Agriculture, Food and the Marine to intervene in the Board Bia dispute and ask its Chairman Larry Murrin to step a",B. Ward,P. Doogue,,,,,,False,https://carlow.ie/sites/default/files/2026-05/Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,text
Carlow,2026 February,Committee Work Programme 2026 and answered questions raised by the,"Proposed by Cllr. J. Deane, Seconded by Cllr. D. Pender, Following a show of hands, it was agreed:- “That we the members of Carlow County Council approve the Audit Committee Annual Report 2025.” 2.2 Approval of Audit Committee Charter 2026 Proposed ",J. Deane,D. Pender,,,,,,False,https://carlow.ie/sites/default/files/2026-05/Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,text
Carlow,2026 February,Questions raised by the members on the Annual Service Delivery Plan were,"Proposed by Cllr. F. Phelan, Seconded by Cllr. P. Doogue, Following a show of hands, it was agreed:- “That we the members of Carlow County Council hereby approve the Annual Service Delivery Plan 2026 2.5 Planning & Development Act 2000 - Section 211, L",F. Phelan,P. Doogue,,,,,,False,https://carlow.ie/sites/default/files/2026-05/Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,text
Carlow,2026 February,"(0.0120 Hectares) at 8 Castle Hill, Carlow.","Proposed by Cllr. J. Cassin Seconded by Cllr. A. Gladney And agreed following a show of hands Following a show of hands, it was agreed:- “That we the members of Carlow County Council hereby approve in accordance with Planning & Development Act 2000, Secti",J. Cassin,A. Gladney,,,,,,False,https://carlow.ie/sites/default/files/2026-05/Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,text
Carlow,2026 February,"Borris, Co. Carlow, R95C982","Proposed by Cllr. T. Kinsella, Seconded by Cllr. W. Quinn, And agreed following a show of hands Following a show of hands, it was agreed:- “That we the members of Carlow County Council hereby approve in accordance with Planning & Development Act 2000, Sec",T. Kinsella,W. Quinn,,,,,,False,https://carlow.ie/sites/default/files/2026-05/Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,text
Carlow,2026 February,Act 2001 – Section 183 (1) - Lease of Lands at O’Brien Road Carlow,"Proposed by Cllr. F. Browne, Seconded by Cllr. A. Dalton, And agreed following a show of hands Following a show of hands, it was agreed:- “That we the members of Carlow County Council hereby approve in accordance with Planning & Development Act 2000, Sect",F. Browne,A. Dalton,,roads_traffic,,,,False,https://carlow.ie/sites/default/files/2026-05/Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,text
Carlow,2026 February,Company CLG and answered questions raised by the members.,"Proposed by Cllr. M. Doran Seconded by Cllr. F. Phelan And agreed following a show of hands “That we the members of Carlow County Council pursuant to Section 66 (1) (a) of the Local Government Act 2001, approve a loan in the amount of €1,325,100 for a 15-",M. Doran,F. Phelan,,,,,,False,https://carlow.ie/sites/default/files/2026-05/Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,text
Carlow,2026 February,J. O’Brien gave presentation to the members and answered questions raised.,Proposed by Cllr. D. Pender Seconded by Cllr. F. Phelan And agreed following a show of hands. 3.0 Consideration of Reports and Recommendations/Breithniú ar Thuarascálacha agus Mholtaí 3.1 Presentation from Acquired Brain Injury Ireland at 4.30 p.m,D. Pender,F. Phelan,,,,,,False,https://carlow.ie/sites/default/files/2026-05/Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,text
Carlow,2026 February,3.2   Training and Conference Approvals,"Proposed by Cllr. F. Phelan, Seconded by Cllr. A. Dalton And agreed following a show of hands. Organise d by Venue Theme Dates Fee AILG Hotel Kilkenny “From Policy to Practice; what Local Authorities in Ireland Can Offer to Support Disabled Peopl",F. Phelan,A. Dalton,,,,,,False,https://carlow.ie/sites/default/files/2026-05/Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,text
Carlow,2026 February,Extension of Time,"Proposed by Cllr. F. Phelan Seconded by Cllr. J. Cassin Following a show of hands, it was agreed: “We the members of Carlow County Council in accordance with Standing Orders, approve the continuation of the meeting until 6.00 p.m. 4.0 Chief Executive",F. Phelan,J. Cassin,,,,,,False,https://carlow.ie/sites/default/files/2026-05/Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,text
Carlow,2026 February,U.S trips for St. Patrick’s Day will boycott any and all events that associate with,Proposed by Cllr. A. Wallace Seconded by Cllr. J. Cassin A roll call vote was taken as follows:- Member of Carlow County Council For Against Abstain Absent Fergal Browne √ John Cassin √ Andrea Dalton √ m Deane √ ,A. Wallace,J. Cassin,,,4,10,,True,https://carlow.ie/sites/default/files/2026-05/Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,text
Carlow,2026 February,Extension of Time,"Proposed by Cllr. P. Doogue, Seconded by Cllr. J. Pender, Following a show of hands, it was agreed: “We the members of Carlow County Council in accordance with Standing Orders, approve the continuation of the meeting until 6.30pm. 7.0 Any other busi",P. Doogue,J. Pender,,,,,,False,https://carlow.ie/sites/default/files/2026-05/Minutes%20Carlow%20County%20Council%20February%202026_0.pdf,text
Carlow,2026 January,Approval of Minutes of monthly meeting of Carlow County Council,"Proposed by Cllr. D. Pender, Seconded by Cllr. M. Doran, Following a show of hands, it was agreed:- “That the Minutes of the monthly meeting of Carlow County Council held in the Council Chamber on Monday 8th December 2025 at 2.00 p.m. having been circulat",D. Pender,M. Doran,,,,,,False,https://carlow.ie/sites/default/files/2026-03/Minutes%20Carlow%20County%20Council%20January%202026.pdf,text
Carlow,2026 January,"Monastery Court (Units 1 – 6) Tullow, Co. Carlow.","Proposed by Cllr. J. Cassin, Seconded by Cllr. P. Doogue, Following a show of hands, it was agreed:- “That we the members of Carlow County Council hereby approve in accordance with Section 11 of the Roads Act 1993, Section 180 of the Planning and Developm",J. Cassin,P. Doogue,,,,,,False,https://carlow.ie/sites/default/files/2026-03/Minutes%20Carlow%20County%20Council%20January%202026.pdf,text
Carlow,2026 January,Planning and Development Act 2010 – Taking in charge of roads and services,"Proposed by Cllr. W. Paton, Seconded by Cllr. B. Ward, Following a show of hands, it was agreed:- “That we the members of Carlow County Council hereby approve in accordance with Section 11 of the Roads Act 1993, Section 180 of the Planning and Development",W. Paton,B. Ward,,,,,,False,https://carlow.ie/sites/default/files/2026-03/Minutes%20Carlow%20County%20Council%20January%202026.pdf,text
Carlow,2026 January,"Government Act 2001, Section 183 (1) - Grant of a 10-year lease on lands","Proposed by Cllr. W. Quinn, Seconded by Cllr. T. Kinsella, Following a show of hands, it was agreed:- “That we the members of Carlow County Council hereby approve in accordance with Planning & Development Act 2000, Section 211, Local Government Act 2001, ",W. Quinn,T. Kinsella,,,,,,False,https://carlow.ie/sites/default/files/2026-03/Minutes%20Carlow%20County%20Council%20January%202026.pdf,text
Carlow,2026 January,"Industrial Estate, Tullow, Co. Carlow.","Proposed by Cllr. J. Pender, Seconded by Cllr. W. Paton, Following a show of hands, it was agreed:- “That we the members of Carlow County Council hereby approve in accordance with Planning & Development Act 2000, Section 211, Local Government Act 2001, Se",J. Pender,W. Paton,,,,,,False,https://carlow.ie/sites/default/files/2026-03/Minutes%20Carlow%20County%20Council%20January%202026.pdf,text
Carlow,2026 January,Report and answered questions raised.,Proposed by Cllr. F. Phelan Seconded by Cllr. F. Browne And agreed following a show of hands “That we the members of Carlow County Council approve the Statutory Audit Report 2024 and the Audit Committee Section 60 Report on the 2024 Statutory Audit Report,F. Phelan,F. Browne,,,,,,False,https://carlow.ie/sites/default/files/2026-03/Minutes%20Carlow%20County%20Council%20January%202026.pdf,text
Carlow,2026 January,2.6  Approval of Delegation to attend New York for St. Patrick’s Day.,"Proposed by Cllr. F. Phelan Seconded by Cllr. A. Dalton And agreed following a show of hands:- “That we the members of Carlow County Council approve the travel of Cllrs. D. Pender, J. Pender, P. Doogue to New York for St. Patrick’s Day.” It was ag",F. Phelan,A. Dalton,,,,,,False,https://carlow.ie/sites/default/files/2026-03/Minutes%20Carlow%20County%20Council%20January%202026.pdf,text
Carlow,2026 January,3.2  Training and Conference Approvals,"Proposed by Cllr. F. Phelan Seconded by Cllr. A. Gladney And agreed following a show of hands. 1 LAMA Spring Seminar The Connacht Hotel Galway Spring Seminar 28th & 29th January 2026 €245 2 Association of Irish Regions Inishowen Gateway Hotel, Buncrana, ",F. Phelan,A. Gladney,,,,,,False,https://carlow.ie/sites/default/files/2026-03/Minutes%20Carlow%20County%20Council%20January%202026.pdf,text
Kerry,,17.12.11.03 Lease of property,"On the PROPOSAL of Cllr. J. Finucane, SECONDED by Cllr. P. McCarthy it was agreed to approve the lease of 144m² of office accommodation located in the Castleisland Carnegie Building in the townland of Knockananlig, Castleisland to Castleisland Chamber Allia",J. Finucane,P. McCarthy it,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/dec17.pdf,text
Kerry,,Development Regulations 2001.,"On the PROPOSAL of Cllr. J. Moloney, SECONDED by Cllr. T. McEllistrim it was agreed to approve the lease of a Unit which is a single storey warehouse/workshop measuring 900 sq. ft. located at the rear of Charles Street, Listowel in the DED of Listowel Urban",J. Moloney,T. McEllistrim it,,environment_climate,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/dec17.pdf,text
Kerry,,13 of 41,"On the PROPOSAL of Cllr. J. Healy-Rae, SECONDED by Cllr. D. McCarthy it was agreed to lease a plot of ground measuring circa 43 sq. meters (0.01 acres) at the rear of Kenmare Carnegie Building to Kenmare Carnegie Arts Centre Ltd by way of an 88 year lease i",J. Healy-Rae,D. McCarthy it,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/dec17.pdf,text
Kerry,,17.12.11.04 Date for Governance Training for Members,"On the PROPOSAL of Cllr. N. Foley, SECONDED by Cllr. J. Finucane it was agreed that Governance Training for members would be held on Monday 29th January 2018 at 10.30am. 17.12.11.05 Progress on the rollout of the Broadband Scheme in Kerry Mr. M. Scanne",N. Foley,J. Finucane,,economic_tourism,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/dec17.pdf,text
Kerry,,Approval for the opening of tenders,"On the PROPOSAL of Cllr. J. Finucane, SECONDED by Cllr. T. Ferris it was agreed to approve the opening of tenders for the Construction of 21 housing units at Killeen Road, Killeen, Tralee – Closing date Wednesday 17th January 2018 at 3pm. (b) On the PRO",J. Finucane,T. Ferris it was,,housing | roads_traffic,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/dec17.pdf,text
Kerry,,2018 at 3pm.,"On the PROPOSAL of Cllr. B. Cronin, SECONDED by Cllr. P. Connor-Scarteen it was agreed to approve the opening of tenders for the Fossa to Gap of Dunloe Greenway – Supply and Installation of Deer Fencing, Fossa, Killarney as follows: Lot 1 – Fossa to Gap ",B. Cronin,P. Connor-Scarteen,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/dec17.pdf,text
Kerry,,17.12.11.10 Conferences and Seminars,"On the PROPOSAL of Cllr. J. Finucane, SECONDED by Cllr. S. Locke it was agreed to approve a visit to the Dingle Civic Amenity Centre by Cllrs. Kennelly, Beasley, Lucid and Moloney on the 9th November 2017. (b) On the PROPOSAL of Cllr. J. Finucane, SECOND",J. Finucane,S. Locke it was,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/dec17.pdf,text
Kerry,,17.11.20.02 Confirmation of Minutes,"On the PROPOSAL of Cllr. M. Gleeson, SECONDED by Cllr. P. Connor- Scarteen it was resolved that the Minutes of the Special Meeting of Kerry County Council held on the 25th July, 2017 be confirmed. (b) On the PROPOSAL of Cllr. D. Grady, SECONDED by Cllr",M. Gleeson,P. Connor,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,"County Council held on the 25th July, 2017 be confirmed.","On the PROPOSAL of Cllr. D. Grady, SECONDED by Cllr. S. Locke it was resolved that the Minutes of the September Ordinary Meeting of Kerry County Council held on the 11th September, 2017 be confirmed. (c) On the PROPOSAL of Cllr. N. Moriarty, SECONDED ",D. Grady,S. Locke it was,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,"Council held on the 11th September, 2017 be confirmed.","On the PROPOSAL of Cllr. N. Moriarty, SECONDED by Cllr. B. O’Connell it was resolved that the Minutes of the Special Meeting of Kerry County Council held on the 23rd October, 2017 be confirmed. 17.11.20.03 Chief Executive’s Report to Council The Chief ",N. Moriarty,B. O’Connell it,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,17.09.11.04 Disposal of Property,"On the PROPOSAL of Cllr. M. Kennelly, SECONDED by Cllr. P. McCarthy it was agreed to dispose of a plot of ground consisting of approx. 0.021 hectares in an unregistered folio at St. Anne's Road, Kilcoolaght in the DED of Killarney Urban to (name and address",M. Kennelly,P. McCarthy it,,roads_traffic,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,Regulations 2001.,"On the PROPOSAL of Cllr. B. O’Connell, SECONDED by Cllr. M. Kennelly it was agreed to lease a plot of ground consisting of House No. 59 at Doirín Álainn, Ballydribeen, Killarney for 6 years to Ballydribeen Residents Association, Killarney, Co. Kerry in acco",B. O’Connell,M. Kennelly it,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,17.11.20.05 Date for December meeting,"On the PROPOSAL of Cllr. J. Finucane, SECONDED by Cllr. M. Kennelly it was agreed that the December Ordinary Meeting would be held on Monday 11th December 2017 in Killarney House commencing at 11am. 17.11.20.06 Approval of the incurring of overdraft accom",J. Finucane,M. Kennelly it was,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,13 of 58,"On the PROPOSAL OF Cllr. J. Finucane, SECONDED by Cllr. T. O’Brien it was agreed to approve the incurring of overdraft accommodation not exceeding €10m for the 12 months ending 31st December 2018. 17.11.20.07 Raising of a loan for the provision and develo",J. Finucane,T. O’Brien it was,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,Ms. A. McAllen referred members to her report dated 6th October 2017 on this item,"On the PROPOSAL of Cllr. B. O’Connell, SECONDED by Cllr. J. Lucid it was agreed to approve the raising of a loan of €1m for the provision and development of Burial Grounds. 17.11.20.08 Presentation on proposed Kerry Brand Mr. M. Scannell welcomed Mr. M",B. O’Connell,J. Lucid,,burial_community,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,The Cathaoirleach indicated that it was 1.30pm and it would be necessary to,"On the PROPOSAL of Cllr. N. Foley, SECONDED by Cllr. J. Finucane it was agreed to suspend Standing Orders to allow the meeting to continue. 17.11.20.08 Presentation on proposed Kerry Brand (Cont.d) Mr. M. Gaffney then addressed the meeting. Mr. Gaffn",N. Foley,J. Finucane,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,Mr. M. O’Donoghue referred members to his report dated 14th November 2017 on,"On the PROPOSAL of Cllr. S. Fitzgerald, SECONDED by Cllr. M. Kennelly it was agreed to adopt the Kerry County Council Corporate Plan 2015 – 2019 in accordance with Section 134 of the Local Government Act 2001 as amended by the Local Government Reform Act 2",S. Fitzgerald,M. Kennelly it was,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,17.11.20.18 Approval for the opening of Tenders,"On the PROPOSAL of Cllr. J. Finucane, SECONDED by Cllr. J.J. Culloty it was agreed to approve the opening of the following tenders: (a) Construction of a Single Rural Dwelling and associated site works at Cahernaboshina, Ventry - Closing date: Friday 15",J. Finucane,J.J. Culloty it was,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,17.11.20.21 Correspondence – Conferences and Seminars,"On the PROPOSAL of Cllr. J.F. Flynn, SECONDED by Cllr. J.J. Culloty it was agreed to approve the attendance of Cllrs. B. O’Connell and N. Kelleher at the Conference on the theme “What does a Hard BREXIT mean for Ireland” held in Clonakilty, Co. Cork from 20",J.F. Flynn,J.J. Culloty it was,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,Cllr. Kelleher was nominated to report back to Council on this event.,"On the PROPOSAL of Cllr. D. Quigg, SECONDED by Cllr. D. McCarthy it was agreed to approve the attendance of Cllrs. Beasley, Lucid and Moloney at the Conference on the theme “Housing in Crisis – Defining the Role of the Councillor” held in Wexford from 10th ",D. Quigg,D. McCarthy it was,,housing,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,Cllr. Beasley was nominated to report back to Council on this event.,"On the PROPOSAL of Cllr. J.F. Flynn, SECONDED by Cllr. J. Moloney it was agreed to approve the attendance of Cllrs. Foley and Lucid at the Bank of Ireland National Enterprising Town Awards Dinner held in Tullamore, Co. Offaly on the 15th November 2017. ",J.F. Flynn,J. Moloney it was,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,56 of 58,"On the PROPOSAL of Cllr. D. McCarthy, SECONDED by Cllr. J. Moloney it was agreed to approve the attendance of Cllr. P. McCarthy at the Purple Flag Awards Ceremony held in Norwich, England on the 16th November 2017. (e) On the PROPOSAL of Cllr. D. McCarth",D. McCarthy,J. Moloney it,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,This event is the same as (e) above.,"On the PROPOSAL of Cllr. M. Gleeson, SECONDED by Cllr. J.F. Flynn it was agreed to authorize the attendance of Cllr. J. Healy-Rae at the Conference on the theme “Invasive Exotic Species of Wildlife in Irish Rivers, Canals and Lakes” to be held in Clonakilty",M. Gleeson,J.F. Flynn it was,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,Cllr. J. Healy-Rae was nominated to report back to Council on this event.,"On the PROPOSAL of Cllr. N. Moriarty, SECONDED by Cllr. D. McCarthy it was agreed to authorize the attendance of Cllrs. O’Connell, Kelleher and O’Shea at the Conference on the theme “Audit Committees in the Irish LG System” to be held in Carlingford, Co. Lo",N. Moriarty,D. McCarthy it,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,Cllr. O’Connell was nominated to report back to Council on this event.,"On the PROPOSAL of Cllr. J. Moloney, SECONDED by Cllr. J.J. Culloty it was agreed to authorize the attendance of Cllrs. Kennelly, J. Healy-Rae, M. Healy-Rae and Moriarty at the Conference on the theme “A Practical Guide to Budget 2018” to be held in Clonaki",J. Moloney,J.J. Culloty it,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,"Budget 2018” to be held in Clonakilty, Co. Cork from 8th to 10th December","On the PROPOSAL of Cllr. J. Healy-Rae, SECONDED by Cllr. J.J. Culloty it was agreed to approve the attendance of Cllr. O’Connell at the Conference on the theme “A Practical Guide to Budget 2018” held in Carlingford, Co. Louth from 13th to 15th October 2017.",J. Healy-Rae,J.J. Culloty it,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,"On the PROPOSAL of Cllr. J. Healy-Rae, SECONDED by Cllr. J.J. Culloty it","On the PROPOSAL of Cllr. J.F. Flynn, SECONDED by Cllr. J. Healy-Rae it was agreed to approve the attendance of the Cathaoirleach, Cllr. J. Sheahan at the Kerry London Association Annual Dinner held on Friday 20th October 2017. (l) On the PROPOSAL of Cll",J.F. Flynn,J. Healy-Rae it,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
Kerry,,"On the PROPOSAL of Cllr. J.F. Flynn, SECONDED by Cllr. J. Healy-Rae it","On the PROPOSAL of Cllr. D. McCarthy, SECONDED by Cllr. M. Gleeson it was agreed to approve the attendance of Cllrs. Sheahan, Finucane, Kennelly, Kelleher and Moriarty on a delegation to Berlin from 2nd to 5th November 2017. (m) On the PROPOSAL of Cllr.",D. McCarthy,M. Gleeson it,,,,,,False,http://docstore.kerrycoco.ie/KCCWebsite/meetings/minutes/nov17.pdf,text
